# baseline-latency.csv — captured by android-daemon-bench (P0.1) and
# desktop-daemon-bench (P0.6) :benchPreviewLatency tasks. See
# docs/daemon/baseline-latency.md for methodology + reference machine.
target,phase,scenario,run,milliseconds,notes
android,config,cold,1,2337,wall of renderPreviews --dry-run
android,compile,cold,1,2472,wall of compileDebugKotlin task (incl. config)
android,discovery,cold,1,1415,wall of discoverPreviews task (incl. config)
android,forkAndInit,cold,1,4041,renderPreviews wall - sum(per-test) = JVM fork + sandbox init + Gradle overhead
android,render,cold,1,5561,sum of 5 JUnit testcase time= attrs (full preview set)
android,config,cold,2,1311,wall of renderPreviews --dry-run
android,compile,cold,2,1670,wall of compileDebugKotlin task (incl. config)
android,discovery,cold,2,1218,wall of discoverPreviews task (incl. config)
android,forkAndInit,cold,2,2870,renderPreviews wall - sum(per-test) = JVM fork + sandbox init + Gradle overhead
android,render,cold,2,5464,sum of 5 JUnit testcase time= attrs (full preview set)
android,config,cold,3,1106,wall of renderPreviews --dry-run
android,compile,cold,3,1358,wall of compileDebugKotlin task (incl. config)
android,discovery,cold,3,1122,wall of discoverPreviews task (incl. config)
android,forkAndInit,cold,3,2661,renderPreviews wall - sum(per-test) = JVM fork + sandbox init + Gradle overhead
android,render,cold,3,5448,sum of 5 JUnit testcase time= attrs (full preview set)
android,config,warm-no-edit,1,564,wall of renderPreviews --dry-run
android,compile,warm-no-edit,1,1062,compileDebugKotlin UP-TO-DATE; wall is config + up-to-date checks
android,discovery,warm-no-edit,1,1156,discoverPreviews UP-TO-DATE; wall is config + up-to-date checks
android,forkAndInit,warm-no-edit,1,622,renderPreviews UP-TO-DATE; whole wall is Gradle overhead (no fork; no sandbox)
android,render,warm-no-edit,1,0,renderPreviews UP-TO-DATE; no per-test work (0 by definition)
android,config,warm-no-edit,2,553,wall of renderPreviews --dry-run
android,compile,warm-no-edit,2,534,compileDebugKotlin UP-TO-DATE; wall is config + up-to-date checks
android,discovery,warm-no-edit,2,572,discoverPreviews UP-TO-DATE; wall is config + up-to-date checks
android,forkAndInit,warm-no-edit,2,598,renderPreviews UP-TO-DATE; whole wall is Gradle overhead (no fork; no sandbox)
android,render,warm-no-edit,2,0,renderPreviews UP-TO-DATE; no per-test work (0 by definition)
android,config,warm-no-edit,3,557,wall of renderPreviews --dry-run
android,compile,warm-no-edit,3,523,compileDebugKotlin UP-TO-DATE; wall is config + up-to-date checks
android,discovery,warm-no-edit,3,557,discoverPreviews UP-TO-DATE; wall is config + up-to-date checks
android,forkAndInit,warm-no-edit,3,578,renderPreviews UP-TO-DATE; whole wall is Gradle overhead (no fork; no sandbox)
android,render,warm-no-edit,3,0,renderPreviews UP-TO-DATE; no per-test work (0 by definition)
android,config,warm-after-1-line-edit,1,524,wall of renderPreviews --dry-run
android,compile,warm-after-1-line-edit,1,950,wall of compileDebugKotlin task (incl. config)
android,discovery,warm-after-1-line-edit,1,705,wall of discoverPreviews task (incl. config)
android,forkAndInit,warm-after-1-line-edit,1,1690,renderPreviews wall - sum(per-test) = JVM fork + sandbox init + Gradle overhead
android,render,warm-after-1-line-edit,1,5433,sum of 5 JUnit testcase time= attrs (full preview set)
android,config,warm-after-1-line-edit,2,527,wall of renderPreviews --dry-run
android,compile,warm-after-1-line-edit,2,909,wall of compileDebugKotlin task (incl. config)
android,discovery,warm-after-1-line-edit,2,695,wall of discoverPreviews task (incl. config)
